title,desc,source,date
地球人口迅速老化：當這個世界的老人比嬰兒還多，孩子們將面對怎樣的未來？,人類遇到了一個空前大變局：世界上老年人的數量超過了嬰幼兒。這意味著人類社會進入了一個老人比娃娃多的時代。背後助推的是一個全球大趨勢：壽命延長而生育減少；這個趨勢在許多國家持續了幾十年，而且今後幾十年還將繼續。2018年底，地球上有7.05億老人，6.8億嬰幼兒。問題是，這個趨勢對,風傳媒,2019-04-11
神奇的蘑菇 多吃有可能保持大脑年轻,你喜欢吃蘑菇吗？研究人员说，蘑菇可能对延缓智力衰退有帮，因此有助于预防失智症（俗称老年痴呆症）。,BBC,2019-03-16
空汙傷腦再添一例 青少年精神疾病風險大增,除了失智、損害智力，空汙亦可能增加精神病機率.空氣汙染不僅恐致呼吸道疾病、造成身體發炎、增加失智風險，最新研究發現，空汙也大幅增加了青少年出現精神疾病的機率。,TWNews,2019-03-28
痛风患者 哪类食物得少吃？,一些老年人有关节疼痛的问题，并把它当成老化，不当一回事。本地专科医生提醒，关节疼痛也可能是痛风的症状，严重的话可引致关节变形，不容忽视。莱佛士内科医疗中心风湿关节科顾问医生张荣耀接受《活得好》访问时说，痛风是一种关节炎症，40岁以上的男性最常见。痛风的症状包括关节疼痛、红肿和发烫。患者几乎都是急然病发，而且一发作起来就病情严重，症状较常在夜晚从大脚趾的关节开始。,Zaobao,2019-03-28
飲酒助心血管觀念過時 專家：喝愈多壽命愈短,老一輩常說，一天喝 2 杯紅酒對心血管有益，卻不知這觀念早已過時。長期研究酒精危害的專家表示，喝酒不僅無助健康，還會增加致癌、失智等風險，喝愈多平均壽命愈短。,芋傳媒,2019-05-09
失智長者迷途 北市警尋回助姊弟團圓,高雄一對年近 7 旬的李姓姊弟日前北上幫就醫家人辦理出院手續，不料罹患失智症的 65 歲李姓男子竟在姊姊休憩時走失，警方接擭通報後立即調閱監視器追查，成功幫助姊弟團圓。,芋傳媒,2019-05-06
【插畫】突然記不起時間地點，是中風還是失智？,"雖然突然失憶是相當嚇人的事，不過日後發生腦中風、癲癇和死亡的機率，並沒有比一般人高，經過適當的檢查判斷，神經科的醫師診斷是「暫時性全面失憶症」的話，就可以安心。 標籤: 暫時性全面失憶症, 失憶症, 失智, 中風, 檢查, 復健, 秒懂家醫科",NewsLens,2019-01-29
社论：慎用公共资源治理宠物服务业,我国社会越来越富裕，越来越多人饲养宠物，推动本地宠物服务业蓬勃发展。宠物店、宠物酒店、宠物美容等如雨后春笋般冒出头来，相关业者、宠物饲主和关爱动物人士也逐渐形成一股利益团体。我国一方面在治理宠物服务业方面还有进步的空间，但另一方面也要警惕宠物权益的过度膨胀。我国面对人口老化、社会不平等问题加剧的挑战，有限的公共资源须谨慎规划使用。,Zaobao,2019-01-11
加來道雄《離開太陽系》：當人類終於能永生不朽，接下來會發生什麼事？,"倘若有一天，科技能藉由神經元對神經元、一點一滴複製你的大腦，保存你所有的記憶和感受，屆時會發生什麼事？ 標籤: 離開太陽系, 加來道雄, 物理學, 老化, 永生, 人口過剩, 糧食危機, 數位永生, 人腦聯結體計畫, 光遺傳學",NewsLens,2019-01-11
中榮推日間「老幼共托」 長者健康顯著進步,中部地區第一間公立醫學中心「老幼共托」的日照機構，收治日常生活功能評估，平均四、五級的失智失能長輩，最高的還有收到七級。透過老幼共托、結合醫學中心資源，日照中心的老長輩，在情緒、健康及延緩老化的...,PTS.org.tw,2019-06-20
賴清德談參選初衷 要讓台灣發展更好,前行政院長賴清德今天表示，台灣面臨少子化、人口老化等問題，他唯有崛起，與民眾共同面對挑戰、並成功因應，要讓台灣走得更遠、發展更好。,芋傳媒,2019-05-05
中美旅游前总裁起诉情妇和女儿案 伍光炎曾三立遗嘱,中美旅游前总裁伍光炎起诉情妇和女儿案续审，庭上揭露伍光炎曾三立遗嘱，从把遗产五五分给情妇和私生女变成不留一分钱给情妇。诉方说这充分显示伍光炎无意把资产转给情妇郭瑞彬，但辩方认为伍光炎的新遗嘱没把郭瑞彬列为受益人，是因他早已把股份转让给她，已没什么可给郭瑞彬了。　已失智的中美旅游前总裁伍光炎（80岁）由妻儿代表，越堤来新起诉他的情妇郭瑞彬（66岁）和女儿伍逸梅（32岁），要向她们追讨价值约2000万元的资,Zaobao,2019-07-11
蛋白质如何折叠？发现者获颁德国医学奖,德国生物化学家哈特尔及美国学者霍里奇在阿尔茨海默症及帕金森氏症的研究中取得卓越成就，获颁德国知名医学奖——达姆施泰特奖。,DW,2019-01-21
看見百萬難民就痛罵梅克爾，但他們替德國創造了「難民經濟」,"德國因為過去人口老化，醫療支出多於收入，但自有難民以來，難民多是年輕人口，醫療開支相對少，而他們現在已經在墊付的退休金，也讓長年退休金虧損連連的情況如遇春雨。 標籤: 德國, 難民, 梅克爾, 語言訓練, 移民法, 津貼",NewsLens,2019-01-21
失智阿嬷幼儿园接女儿 女儿泪崩：我30年前已毕业,中国南京一间幼儿园报警，称门口有位老奶奶走失，后来警方查悉，原来84岁的老人家罹患失智症，记忆停留在女儿读幼儿园的场景，于是自己跑去幼儿园“要接女儿放学”。事件中的女儿寻获老母时，流着泪说自己是家里唯一的女儿，妈妈生她时已经年纪很大了，对她百般呵护。后来妈妈得了失智症，却依然记得接她放学，但那都已经是30多年前的事了。,Zaobao,2019-01-18
高雄中正大順路口突現坑洞 1人摔傷送醫,昨天傍晚，高雄中正、大順路口突然塌陷，出現平均深度約1.8公尺的坑洞，害一名民眾受傷送醫，市府研判是汙水管老化、鬆脫，今天上午也前往現場開挖，要將管線重新修繕後再回填。...,PTS.org.tw,2019-05-22
「憤怒」與老年人健康有關，很可能導致發炎和慢性疾病,"《心理學與老化》（Psychology and Aging）期刊最近刊登了一項小型研究，研究指出，比起悲傷，憤怒和老年人健康問題的關聯更深，很可能導致發炎反應和慢性疾病。 標籤: 憤怒, 情緒, 難過, 悲傷, 老年人, 發炎, 慢性疾病",NewsLens,2019-06-07
哪些体质较易患糖尿病？,彭博社研究显示，2010年至2017年间，糖尿病患者的增幅为4%，除了人口老龄化，不健康的生活方式和习惯也是关键因素。有鉴于此，国人更应积极对抗糖尿病，预防患病。《新明日报》“活得好”请莱佛士中医的苗萌中医师，以中医的角度谈糖尿病的患病导因，以及哪些体质的人较易患病。苗萌中医师指出，中医认为糖尿病的导因一般可分为：,Zaobao,2019-04-03
新加坡航空因发动机问题停飞两架波音787,新加坡航空发现，其波音787-10机队的部分罗尔斯•罗伊斯Trent 1000 TEN发动机的叶片过早老化。,FT,2019-04-03
簡媜：重新學習「老病死」，在宅醫療是「天使在做的事」,"簡媜形容，進入都會社群，人與人之間的連結處於脆弱的虛線狀態，不如以往農業社會盤根錯節、蜘蛛網式密集的網絡；如果在宅醫療理念順利實施，便能將虛線實線化、彼此連結，是很了不起的志業。 標籤: 簡媜, 在宅醫療, 老化, 醫病溝通",NewsLens,2019-01-02
因應農業缺工 雲林縣爭取開放外籍移工,雲林縣農業產值居全台之冠，卻面臨人口老化、農業缺工等困境，縣長張麗善今天為農民請命，希望農委會與勞動部合作，開放養豬、養禽、農業等類別外籍移工。,芋傳媒,2019-03-23
勞保年金去年虧損、7年後破產，5個QA看修法後恐「拉低薪資」,"一名民進黨立委也直言，不只下會期不會處理《勞保條例》，在本屆立委任期內，恐怕都不會去動它，「挑在大選前去處理勞保年金改革，無疑是自殺。」 標籤: 勞保年金, 勞工保險局, 年金改革, 勞工保險, 老年年金, 少子化, 人口老化, 立法院",NewsLens,2019-01-27
守護孕婦 每縣市至少一家周產期照護中心,台灣少子化嚴重，產科醫生年齡老化。衛福部將推「周產期照護網絡」，每縣市至少一家重點醫院提供周產期照護中心，照顧高危險妊娠孕婦，並設開放醫院，讓開業產科醫有更多資源。,芋傳媒,2019-01-23
面對失智症與長照的巨大壓力，「孝順不可外包」的台灣該如何因應？,"該如何因應失智這個大洪流？最重要的是人力的培養，從專業方面說起，醫師用藥應與時俱進，護理人員要隨時追蹤失智患者及長者復健的進度，不能用急性的眼光去看待它，社工居家服務等照顧方面應完善、周全，以及即將踏入「老年照顧」的莘莘學子們結合現代化科技方式，帶給老人家前所未有、新穎的復健器材及服務。 標籤: 失智症, 高齡化, 長期照護, 照護機構, 長照2.0, 仁愛之家, 約束帶, 自立支援照護",NewsLens,2019-02-20
中國荒謬的生育管制：鼓勵二胎罰三胎？山東夫婦生老三，被罰到連微信錢包都被凍結,中國面臨到人口老化的壓力，開始鼓勵民眾生二胎。但是，對生三胎的人，卻仍徵收高額「社會撫養費」，就連虛擬帳戶也收得一點零錢也不留。山東一對王氏夫婦的遭遇引發眾多網民為之叫屈。山東成武縣一對夫婦在生了第三胎之後，沒能上繳「社會撫養費」，被當地法院凍結財產及財付通，連微信錢包也沒能倖免,風傳媒,2019-02-20
台中清水兩校運動設施損壞嚴重 教部允協助改善,立法院副院長蔡其昌今天邀教育部與台中市政府教育局等單位，會勘清水區兩所國小，校內運動設施因老化或土壤液化嚴重，影響師生與居民運動安全，教育部允諾協助改善。,芋傳媒,2019-05-17
婴儿潮一代对特殊营销不买账,斯卡平克：企业曾经设想的人口老龄化所带来的销售机遇并未成真，婴儿潮一代对企业营销并不言听计从。,FT,2019-05-16
《驚奇隊長》的特效「回春術」：福瑞局長是如何變年輕的？,"去除老化，是一個既細緻又耗時的過程。特別是《驚奇隊長》中，Samuel Jackson並非只是客串，而是擔綱主要角色貫串全片；這意味著此次的減齡作業，不論是「質」還是「量」，對Lola VFX來說都會是格外艱鉅的任務。 標籤: 電影, 特效, Samuel Jackson, 驚奇隊長, Lola VFX",NewsLens,2019-06-08
高齡照護經驗分享 美日英專家雲林交流,台大醫院雲林分院今天舉辦「改制 15 週年高齡照護國際研討會」，邀請美日英學者專家，分享高齡照護經驗，邁向活躍、健康、快樂、在地老化的目標。,芋傳媒,2019-03-31
年過65歲4成有聽損 出現5大徵兆快就醫,最新報告顯示，全台年過 65 歲長者 40% 有聽損，恐影響溝通、認知功能，失智風險提高。醫師提醒，若常聽到嗡嗡聲、看電視音量大、常請他人重複對話並有耳鳴、頭暈，應立即就醫。,芋傳媒,2019-08-04
米果專欄：準備好活到一百歲了嗎？,考慮到「人間100年」的可能，日本政府開始討論是否延長退休年齡到75歲。台灣人口老化程度不比日本輕鬆，想要參選總統大位的人也該端出人間100年的政策，光是發大財的口號是不夠的。這幾年日本政府一直朝著「人間100年」的方向來思考社會政策，像戰國武將織田信長那樣唱著「人間50年」的時,風傳媒,2019-06-02
青銀共創 台中市長公館變身「不老食光」,歷史建築的台中市市長公館打造「不老食光」餐廳，3年下來，發展出一套獨特的銀髮就業工時及形態，台灣社會正面臨老化，希望能將這個模式推廣到更多企業組織中。...,PTS.org.tw,2019-06-05
發表會沒說的 iOS 13 秘密功能：慢速充電護電池,在2019蘋果開發者大會（WWDC 2019）上發表iOS 13後，官網除了說明功能細節外，也公布可更新的手機。據了解iOS 13 作業系統採用了新穎的電池充電優化功能，可通過減少設備充滿電的時間來幫助防止電池老化。這功能看似簡單，具體上如何運作呢？蘋果表示，iOS 13這項功能能夠降低電池充滿電的,NewTalk.tw,2019-06-05
教師休寒暑假權益受衝擊？教育部不能含糊其詞,"〈寒暑假不再是「當然假期」！〉新聞會直接反饋到轉型正義後很多教師對於執政團隊的不滿，也就是執政團隊可能沒發現到年改中的延退機制可能在五年內會造成教育圈中新血減少、老化人力增加的問題。 標籤: 教師法, 休假權益, 休假日, 延退機制, 寒暑假",NewsLens,2019-03-09
高齡化社會的長照解方，可能就在「0與1」之間,"即便在現階段仍有限制，但互動式遊戲確實可以輔助正規醫療的治療，成為一項沒有壓力復健方式，研究也發現電玩遊戲可以用來治療各種心理與生理問題，提高患者的生活自理能力，融入社會活動 。 標籤: 電玩, 互動式遊戲, VR, 精神疾病, 失智症, 高齡化, 長照",NewsLens,2019-03-09
名人堂球星西佛失智 大都會將以特殊方式表揚,美國職棒紐約大都會隊（New York Mets）發言人今天宣布， 74 歲的前職棒球星西佛（Tom Seaver）被診斷罹患失智症。,芋傳媒,2019-03-09
《死亡的臉》：長壽的最佳保證，是選擇正確的父親與母親,"科學的舞臺上出現過非常多的老化因素，我猜想它們應該都有某種程度的確實性。換句話說，老化很可能是這些因素綜合作用的結果，還要再加上另一個重要因素，我們每個人不同的個人構成要素。 標籤: 死亡的臉, 一位外科醫師的生死現場, 許爾文・努蘭, Sherwin B. Nuland, 老化, 基因, 死亡, 損耗理論",NewsLens,2019-08-09
《最高飲食法》：含有「老化禍首」AGE的食品，該如何正確烹調？,"食品中也含有AGE。因為食材裡的蛋白質及脂肪一旦與葡萄糖結合，便會產生AGE。為了不讓自己體內的AGE增加，在飲食方面有兩點要注意。 標籤: 老化現象, 葡萄糖, 氧氣, 糖化, Advanced Glycation End Products, 糖化終產物, 糖化血色素, 飲食習慣, 烹調方式, 血糖值, 最高飲食法, 牧田善二",NewsLens,2019-06-15
本国人才外流 外劳涌入 日媒：日本人口可能大换血,除了人口老龄化问题，日本目前也因经济萎缩导致人才严重外流。日媒认为，到了2030年，日本将出现人口大换血。届时，在日本20岁到44岁的人口中，每10个人里有一人会是外来移民。人口老化、人力不足的日本现在还得面对国人出走的问题，越来越多的日本人无法在国内获得满意的机会和待遇，积极出走，到外地找出路。在这同时，日本政府扩大引进外劳，日本好些媒体认为，到了2030年，日本将出现人口大换血。在日本20岁到44岁的人口中，每10个人里有一人会是外来移民。,Zaobao,2019-01-03
台灣失智人口增 WHO：每週快走150分鐘可預防,據推估，截至去年底全台失智人口恐超過 28 萬人。醫師表示，根據 WHO 公布的指引，運動預防失智的效果排名第一，建議 65 歲以上長者每週快走 150 分鐘，流汗、會喘就有效。,芋傳媒,2019-08-22
中国2018：新生儿首次少于1500万,中国新生儿出生率继续下降，人口计生专家表示，根据部分地方公布的数据，今年人口出生数减少100至200万。换言之，新生儿可能跌破一千五百万大关，比官方预计的两千万锐减约两成半，显示中国人口老化问题正在急剧恶化。,RFA,2018-12-28
掌握「三階六面」，讓退休族擁有發揮價值的第二舞台,"我們深信在「漸進式退休準備」與「學習興趣的教學設計與規劃」上，各機構、社區據點及政府單位若能發揮創意，提供退休者適性學習方案，讓有限資源做更有效的應用，將能事半功倍，讓退休族們活得更健康、更開心、更有意義。 標籤: 人口老化, 嬰兒潮世代, 退休準備, 職涯調整, 健康體本, 社會貢獻, 個人價值, 社交需求, 集體創想2033樂活島, 台中烏日中高齡學習需求調查",NewsLens,2019-05-26
他是醫師病人更是教練 推廣銀髮運動翻轉老化,今年 51 歲的康寧醫院急診科主治醫師郭健中，看著失能的岳父靠著運動一步步擺脫輪椅、拐杖，他考取健身教練，投入銀髮健身領域，不僅替老人創造回春奇蹟，也找回自己的健康。,芋傳媒,2019-05-26
